company_name,title,job_department,job_type,work_location_type,pay_type,location_city,location_state,location_country,salary_min,salary_max,experience_years,description,required_skills,perks,apply_link,joining_fee_required,is_night_shift,status,display_applications_count,posted_days_ago
"IBM India","QA Automation Engineer II",Engineering,full_time,remote,fixed,Ahmedabad,Gujarat,India,600000,1100000,2,"IBM India is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://www.ibm.com/careers,0,0,active,2347,3
"Amazon India","Product Manager II",Operations,full_time,office,fixed,Remote,India,India,1200000,2500000,5,"Amazon India is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://www.amazon.jobs/en/locations/india,0,0,active,2053,15
Flipkart,"UI/UX Designer II",Engineering,contract,hybrid,fixed,Bangalore,Karnataka,India,650000,1200000,2,"Flipkart is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://www.flipkartcareers.com,0,0,active,805,17
Swiggy,"Android Developer II",Engineering,part_time,remote,fixed,Hyderabad,Telangana,India,750000,1400000,3,"Swiggy is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://careers.swiggy.com,0,0,active,1789,2
Zomato,"iOS Developer II",Engineering,full_time,hybrid,fixed,Pune,Maharashtra,India,800000,1500000,3,"Zomato is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://www.zomato.com/careers,0,0,active,1939,30
Paytm,"Flutter Developer II",Engineering,full_time,remote,fixed,Mumbai,Maharashtra,India,700000,1300000,2,"Paytm is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://paytm.com/careers,0,0,active,1099,2
PhonePe,"Cloud Architect II",Engineering,full_time,office,fixed,Chennai,"Tamil Nadu",India,1800000,3500000,8,"PhonePe is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://www.phonepe.com/careers,0,0,active,1511,28
Razorpay,"Business Analyst II",Operations,contract,hybrid,fixed,"Delhi NCR",Delhi,India,700000,1200000,3,"Razorpay is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://razorpay.com/jobs,0,0,active,1399,29
Freshworks,"Sales Executive II",Sales,part_time,remote,fixed,Gurgaon,Haryana,India,400000,800000,2,"Freshworks is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://www.freshworks.com/company/careers,0,0,active,689,15
Zoho,"Digital Marketing Manager II",Marketing,full_time,hybrid,fixed,Noida,"Uttar Pradesh",India,600000,1100000,4,"Zoho is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://www.zoho.com/careers,0,0,active,283,4
Mindtree,"HR Business Partner II","Human Resources",full_time,remote,fixed,Kolkata,"West Bengal",India,700000,1300000,5,"Mindtree is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://www.mindtree.com/careers,0,0,active,1161,1
LTIMindtree,"Financial Analyst II",Finance,full_time,office,fixed,Ahmedabad,Gujarat,India,550000,1000000,2,"LTIMindtree is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://www.ltimindtree.com/careers,0,0,active,1487,21
Cognizant,"Customer Support Lead II","Customer Support",contract,hybrid,fixed,Remote,India,India,450000,850000,3,"Cognizant is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://careers.cognizant.com,0,0,active,2192,14
"Deloitte India","Cybersecurity Analyst II",Engineering,part_time,remote,fixed,Bangalore,Karnataka,India,900000,1700000,3,"Deloitte India is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://www2.deloitte.com/in/en/careers,0,0,active,1280,25
"EY India","Python Developer II",Engineering,full_time,hybrid,fixed,Hyderabad,Telangana,India,650000,1200000,2,"EY India is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://careers.ey.com,0,0,active,554,5
"KPMG India","SAP Consultant II",Operations,full_time,remote,fixed,Pune,Maharashtra,India,1000000,1900000,4,"KPMG India is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://home.kpmg/in/en/home/careers,0,0,active,65,10
Genpact,"Network Engineer II",Engineering,full_time,office,fixed,Mumbai,Maharashtra,India,600000,1100000,3,"Genpact is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://www.genpact.com/careers,0,0,active,2380,16
TCS,"Content Writer II",Marketing,contract,hybrid,fixed,Chennai,"Tamil Nadu",India,350000,650000,1,"TCS is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://www.tcs.com/careers,0,0,active,2387,28
Infosys,"Operations Manager II",Operations,part_time,remote,fixed,"Delhi NCR",Delhi,India,900000,1600000,6,"Infosys is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://www.infosys.com/careers,0,0,active,743,18
Wipro,"Senior Java Developer II",Engineering,full_time,hybrid,fixed,Gurgaon,Haryana,India,900000,1800000,5,"Wipro is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://careers.wipro.com,0,0,active,992,19
"HCL Technologies","React Frontend Engineer II",Engineering,full_time,remote,fixed,Noida,"Uttar Pradesh",India,700000,1300000,2,"HCL Technologies is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://www.hcltech.com/careers,0,0,active,2245,24
"Tech Mahindra","Full Stack Developer II",Engineering,full_time,office,fixed,Kolkata,"West Bengal",India,800000,1500000,3,"Tech Mahindra is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://careers.techmahindra.com,0,0,active,1169,8
"Accenture India","DevOps Engineer II",Engineering,contract,hybrid,fixed,Ahmedabad,Gujarat,India,1000000,2000000,4,"Accenture India is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://www.accenture.com/in-en/careers,0,0,active,704,0
"Capgemini India","Data Analyst II",Operations,part_time,remote,fixed,Remote,India,India,500000,900000,1,"Capgemini India is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://www.capgemini.com/careers,0,0,active,2096,13
"IBM India","Data Scientist II",Engineering,full_time,hybrid,fixed,Bangalore,Karnataka,India,1100000,2200000,3,"IBM India is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://www.ibm.com/careers,0,0,active,2143,6
"Amazon India","QA Automation Engineer II",Engineering,full_time,remote,fixed,Hyderabad,Telangana,India,600000,1100000,2,"Amazon India is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://www.amazon.jobs/en/locations/india,0,0,active,643,1
Flipkart,"Product Manager II",Operations,full_time,office,fixed,Pune,Maharashtra,India,1200000,2500000,5,"Flipkart is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://www.flipkartcareers.com,0,0,active,456,8
Swiggy,"UI/UX Designer II",Engineering,contract,hybrid,fixed,Mumbai,Maharashtra,India,650000,1200000,2,"Swiggy is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://careers.swiggy.com,0,0,active,1808,30
Zomato,"Android Developer II",Engineering,part_time,remote,fixed,Chennai,"Tamil Nadu",India,750000,1400000,3,"Zomato is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://www.zomato.com/careers,0,0,active,904,10
Paytm,"iOS Developer II",Engineering,full_time,hybrid,fixed,"Delhi NCR",Delhi,India,800000,1500000,3,"Paytm is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://paytm.com/careers,0,0,active,1450,8
PhonePe,"Flutter Developer II",Engineering,full_time,remote,fixed,Gurgaon,Haryana,India,700000,1300000,2,"PhonePe is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://www.phonepe.com/careers,0,0,active,1572,4
Razorpay,"Cloud Architect II",Engineering,full_time,office,fixed,Noida,"Uttar Pradesh",India,1800000,3500000,8,"Razorpay is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://razorpay.com/jobs,0,0,active,749,15
Freshworks,"Business Analyst II",Operations,contract,hybrid,fixed,Kolkata,"West Bengal",India,700000,1200000,3,"Freshworks is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://www.freshworks.com/company/careers,0,0,active,282,12
Zoho,"Sales Executive II",Sales,part_time,remote,fixed,Ahmedabad,Gujarat,India,400000,800000,2,"Zoho is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://www.zoho.com/careers,0,0,active,2069,21
Mindtree,"Digital Marketing Manager II",Marketing,full_time,hybrid,fixed,Remote,India,India,600000,1100000,4,"Mindtree is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://www.mindtree.com/careers,0,0,active,78,7
LTIMindtree,"HR Business Partner II","Human Resources",full_time,remote,fixed,Bangalore,Karnataka,India,700000,1300000,5,"LTIMindtree is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://www.ltimindtree.com/careers,0,0,active,713,1
Cognizant,"Financial Analyst II",Finance,full_time,office,fixed,Hyderabad,Telangana,India,550000,1000000,2,"Cognizant is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://careers.cognizant.com,0,0,active,1160,17
"Deloitte India","Customer Support Lead II","Customer Support",contract,hybrid,fixed,Pune,Maharashtra,India,450000,850000,3,"Deloitte India is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://www2.deloitte.com/in/en/careers,0,0,active,2339,22
"EY India","Cybersecurity Analyst II",Engineering,part_time,remote,fixed,Mumbai,Maharashtra,India,900000,1700000,3,"EY India is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://careers.ey.com,0,0,active,484,4
"KPMG India","Python Developer II",Engineering,full_time,hybrid,fixed,Chennai,"Tamil Nadu",India,650000,1200000,2,"KPMG India is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://home.kpmg/in/en/home/careers,0,0,active,2278,18
Genpact,"SAP Consultant II",Operations,full_time,remote,fixed,"Delhi NCR",Delhi,India,1000000,1900000,4,"Genpact is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://www.genpact.com/careers,0,0,active,383,15
TCS,"Network Engineer II",Engineering,full_time,office,fixed,Gurgaon,Haryana,India,600000,1100000,3,"TCS is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://www.tcs.com/careers,0,0,active,625,9
Infosys,"Content Writer II",Marketing,contract,hybrid,fixed,Noida,"Uttar Pradesh",India,350000,650000,1,"Infosys is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://www.infosys.com/careers,0,0,active,1501,28
Wipro,"Operations Manager II",Operations,part_time,remote,fixed,Kolkata,"West Bengal",India,900000,1600000,6,"Wipro is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://careers.wipro.com,0,0,active,1300,1
"HCL Technologies","Senior Java Developer II",Engineering,full_time,hybrid,fixed,Ahmedabad,Gujarat,India,900000,1800000,5,"HCL Technologies is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.hcltech.com/careers,0,0,active,309,29
"Tech Mahindra","React Frontend Engineer II",Engineering,full_time,remote,fixed,Remote,India,India,700000,1300000,2,"Tech Mahindra is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://careers.techmahindra.com,0,0,active,2219,2
"Accenture India","Full Stack Developer II",Engineering,full_time,office,fixed,Bangalore,Karnataka,India,800000,1500000,3,"Accenture India is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://www.accenture.com/in-en/careers,0,0,active,1441,14
